Author Name,Affiliation,Google Scholar Link,Research Interests,Email Domain,Citations,Nation,,,,,
Xiao-Jing Wang,"Global Professor of Neural Science, New York University",https://scholar.google.com/citations?hl=en&user=cv-YgL0AAAAJ,"Computational Neuroscience, Large-scale Modeling, Working Memory, Decision Making, Oscillation",nyu.edu,46274,us,,,,,
Daniel D. Lee,"Tisch University Professor of ECE, Cornell University",https://scholar.google.com/citations?hl=en&user=J0l7wWwAAAAJ,"machine learning, robotics, computational neuroscience, statistical physics",alum.mit.edu,45994,us,,,,,
Matthias Bethge,T®πbingen University & Maddox Co-Founder,https://scholar.google.com/citations?hl=en&user=0z0fNxUAAAAJ,"Computational Neuroscience, Machine Learning, Vision",bethgelab.org,43375,de,,,,,
Michael J Frank,"Professor, Director Center for Computational Brain Science, Brown University",https://scholar.google.com/citations?hl=en&user=f-xyFpUAAAAJ,"Computational Psychiatry, Dopamine, Decision Neuroscience, Computational Neuroscience",brown.edu,42592,us,,,,,
Bard Ermentrout,"Professor of Mathematics, Univ of Pittsburgh",https://scholar.google.com/citations?hl=en&user=E73icgUAAAAJ,"Mathematical Biology, computational neuroscience, Mathematical Neuroscience",pitt.edu,39497,us,,,,,
GUSTAVO DECO,University Pompeu Fabra - Center for Brain and Cognition - ICREA,https://scholar.google.com/citations?hl=en&user=xMh3uN8AAAAJ,Computational Neuroscience,upf.edu,39004,es,,,,,
Michael Hasselmo,"Director, Center for Systems Neuroscience, Prof., Psych. & Brain Sci., Boston University",https://scholar.google.com/citations?hl=en&user=quuUO9AAAAAJ,"Systems Neuroscience, Episodic Memory, Computational Neuroscience, Neural Oscillations, Acetylcholine",bu.edu,38854,us,,,,,
Eve Marder,Brandeis University,https://scholar.google.com/citations?hl=en&user=WUWmiBcAAAAJ,"neuromodulation, computational neuroscience, dynamics of small networks, neuropeptides",brandeis.edu,38080,us,,,,,
Malvin Carl Teich,"Professor Emeritus, Columbia: EE, Appl Physics; Professor Emeritus, Boston U: EE, Physics ",https://scholar.google.com/citations?hl=en&user=2S1G6w4AAAAJ," Fractal stochastic processes,  Computational neuroscience,  Vision, Audition",bu.edu,37557,us, ,,,,
Reza Shadmehr,Professor of Biomedical Engineering and Neuroscience at Johns Hopkins School ,https://scholar.google.com/citations?hl=en&user=UM8YeikAAAAJ,"Cerebellum, Motor control, Computational neuroscience, biomedical engineering, Neuroscience",jhu.edu,36331,us,,,,,
Kenneth Harris,University College London,https://scholar.google.com/citations?hl=en&user=jcYBNfIAAAAJ,"Neuroscience, Mathematical Neuroscience, Computational Neuroscience, Neural Coding, Systems Neuroscience",ucl.ac.uk,35261,uk,,,,,
Matteo Carandini,"Professor of Visual Neuroscience, University College London",https://scholar.google.com/citations?hl=en&user=R3PGFHsAAAAJ,"Neuroscience, Visual Neuroscience, Computational Neuroscience, Systems Neuroscience",ucl.ac.uk,32831,uk,,,,,
Michael Breakspear,"University of Newcastle, Australia",https://scholar.google.com/citations?hl=en&user=hrx691cAAAAJ,"Computational neuroscience, Computational psychiatry",newcastle.edu.au,32726,au,,,,,
M. Di Ventra,"Professor of Physics, University of California, San Diego",https://scholar.google.com/citations?hl=en&user=LxgLWnwAAAAJ,"Physics, Condensed Matter Theory, Unconventional Computing, Biophysics, Computational Neuroscience",physics.ucsd.edu,32595,us,,,,,
Wolfgang Maass,"Professor of Computer Science, Graz University of Technology",https://scholar.google.com/citations?hl=en&user=2WpvdH0AAAAJ,"Computational Neuroscience, Machine Learning, Computational Complexity Theory",igi.tugraz.at,31649,at,,,,,
Blaise Aguera y Arcas,"VP Engineering Fellow, Google Research",https://scholar.google.com/citations?hl=en&user=NQ8iI3cAAAAJ,"AI / Machine Learning, Computer / Machine Vision, Computational Neuroscience, Social Intelligence",google.com,31188,us,,,,,
Barry Horwitz,"Brain Imaging & Modeling Section, NIDCD, NIH",https://scholar.google.com/citations?hl=en&user=E_Pm5MEAAAAJ,"neuroscience, computational neuroscience, functional neuroimaging",mail.nih.gov,31080,us,,,,,
Alain Destexhe,CNRS,https://scholar.google.com/citations?hl=en&user=x-MyT34AAAAJ,"Neuroscience, computational neuroscience, theoretical neuroscience",unic.cnrs-gif.fr,30276,fr,,,,,
Auke Ijspeert,"EPFL, Ecole Polytechnique F®¶d®¶rale de Lausanne, Switzerland",https://scholar.google.com/citations?hl=en&user=ViYx9vMAAAAJ,"biorobotics, robotics, computational neuroscience, motor control, locomotion",epfl.ch,29987,ch,,,,,
Bruno Olshausen,"Professor, UC Berkeley",https://scholar.google.com/citations?hl=en&user=4aqK_74AAAAJ,"Computational neuroscience, vision, natural scenes, sparse coding",berkeley.edu,29971,us,,,,,
Eugene Izhikevich,"Executive Chairman, Brain Corp, San Diego, California",https://scholar.google.com/citations?hl=en&user=1JeBX-IAAAAJ,"computational neuroscience, dynamical systems",braincorp.com,29856,us,,,,,
David J. Field,"Professor of Psychology, Cornell University",https://scholar.google.com/citations?hl=en&user=9CQ4jawAAAAJ,"vision, computational vision, natural scenes, computational neuroscience, neuroscience",cornell.edu,28662,us,,,,,
Federico Turkheimer,"Professor of Neuroimaging, King's College London",https://scholar.google.com/citations?hl=en&user=35VA7aIAAAAJ,"Neuroscience, neuroimaging, computational neuroscience, mathematical statistics",kcl.ac.uk,28183,uk,,,,,
Michael N. Smolka,Technische Universit?t Dresden,https://scholar.google.com/citations?hl=en&user=VIWxcIoAAAAJ,"addiction, cognitive neuroscience, computational neuroscience",tu-dresden.de,27636,de,,,,,
Ad Aertsen,"Professor of Neurobiology and Biophysics, Bernstein Center Freiburg, University of Freiburg",https://scholar.google.com/citations?hl=en&user=gLEsMrYAAAAJ,"Computational Neuroscience, Systems Neuroscience, Neurotechnology",biologie.uni-freiburg.de,26961,de,,,,,
Kenji Doya,Okinawa Institute of Science and Technology,https://scholar.google.com/citations?hl=en&user=SHufeXQAAAAJ,"Computational Neuroscience, Neural Networks, Reinforcement Learning",oist.jp,26695,jp,,,,,
Alexandre Pouget,University of Geneva,https://scholar.google.com/citations?hl=en&user=07IPOvMAAAAJ,computational neuroscience,unige.ch,26672,ch,,,,,
Rajesh PN Rao,"Computer Science and Engineering, University of Washington",https://scholar.google.com/citations?hl=en&user=02nHF0gAAAAJ,"Computational Neuroscience, Brain-Computer Interfacing, Artificial Intelligence",cs.washington.edu,26058,us,,,,,
Simon J. Thorpe,"Emeritus CNRS Research Director (DRCE2), CerCo (CNRS-UT3), TMBI (Univ. Toulouse) ",https://scholar.google.com/citations?hl=en&user=uR-7ex4AAAAJ,"Computational Neuroscience, Perception, Cognition, Probabilistic Models,  Memory,  Neural Networks, AI",,25914,fr,,,,,
Carson C Chow,"Senior Investigator, LBM, NIDDK, NIH",https://scholar.google.com/citations?hl=en&user=L4iOmOAAAAAJ,"Mathematical Biology, Computational Neuroscience, Dynamical Systems",mail.nih.gov,25857,us,,,,,
Ernst Niebur,Johns Hopkins University. Previously: California Institute of Technology; Universite de ,https://scholar.google.com/citations?hl=en&user=ipKi9CIAAAAJ,computational neuroscience,jhu.edu,25688,us,,,,,
Samuel Gershman,"Professor, Harvard University",https://scholar.google.com/citations?hl=en&user=0HuMHFwAAAAJ,"Computational neuroscience, cognitive science, machine learning",fas.harvard.edu,25545,us,,,,,
David Touretzky,"Professor of Computer Science, Carnegie Mellon University",https://scholar.google.com/citations?hl=en&user=yjzqylcAAAAJ,"artificial intelligence, robotics, computational neuroscience",cs.cmu.edu,25544,us,,,,,
John Rinzel,"Professor of Neural Science and Mathematics, New York University",https://scholar.google.com/citations?hl=en&user=APUDGxoAAAAJ,"Computational Neuroscience, Sensory Processing",nyu.edu,24956,us,,,,,
Kenneth A. Norman,"Professor of Psychology and Neuroscience, Princeton University",https://scholar.google.com/citations?hl=en&user=A4ycnDQAAAAJ,"Cognitive Neuroscience, Computational Neuroscience, Cognitive Psychology",princeton.edu,24314,us,,,,,
Cameron C. McIntyre,"Duke University, Departments of Biomedical Engineering & Neurosurgery",https://scholar.google.com/citations?hl=en&user=cnBy3OAAAAAJ,"Neuromodulation, Deep Brain Stimulation, Neural Engineering, Neuroengineering, Computational Neuroscience",duke.edu,24268,us,,,,,
Rodney Douglas,Professor of Computational Neuroscience,https://scholar.google.com/citations?hl=en&user=WYmxljYAAAAJ,"Neuroscience, Neuromorphic Engineering, Neuroinformatics, Computational Neuroscience",ini.phys.ethz.ch,23338,ch,,,,,
Dipanjan Roy,"School of Data Science and Artificial Intelligence, Indian Institute of Technology (IIT) Jodhpur",https://scholar.google.com/citations?hl=en&user=9Z9gTzEAAAAJ,"fMRI, Cognitive Neuroscience, Computational Neuroscience, Machine learning, Aging",iitj.ac.in,23233,in,,,,,
Yael Niv,"Professor of Psychology and Neuroscience, Princeton University",https://scholar.google.com/citations?hl=en&user=5NUNoKwAAAAJ,"reinforcement learning, neuroeconomics, fMRI, cognitive neuroscience, computational neuroscience",princeton.edu,23065,us,,,,,
Gaurav Jain,Biocon Bristol-Myers Squibb R&D Center (BBRC),https://scholar.google.com/citations?hl=en&user=cfMArSUAAAAJ,"Computational Neuroscience, Cancer Genetics and Epigenetics",tum.de,22804,de,,,,,
Ildefons Magrans de Abril,,https://scholar.google.com/citations?hl=en&user=VtUn5EkAAAAJ,"Machine learning, computational neuroscience",,22718,,,,,,
John K. Tsotsos,"York University, Canada",https://scholar.google.com/citations?hl=en&user=Ic6ZXhUAAAAJ,"vision, attention, computer vision, robotics, computational neuroscience",yorku.ca,22717,ca,,,,,
Gabriel Kreiman,"Professor, Harvard Medical School and Children's Hospital",https://scholar.google.com/citations?hl=en&user=WxZ_6nsAAAAJ,"Artificial Intelligence. Computational Biology, Computational Neuroscience.",tch.harvard.edu,22397,us,,,,,
Mark Reimers,Michigan State U,https://scholar.google.com/citations?hl=en&user=jfVwg38AAAAJ,"computational neuroscience, genomics",msu.edu,22247,us,,,,,
Christopher J. Honey,"Associate Professor, Johns Hopkins University",https://scholar.google.com/citations?hl=en&user=w2xjglQAAAAJ,"Cognitive Neuroscience, Cognitive Psychology, Computational Neuroscience, Systems Neuroscience",jhu.edu,22158,us,,,,,
Chiyuan Zhang,Google Research,https://scholar.google.com/citations?hl=en&user=l_G2vr0AAAAJ,"Machine Learning, Computational Neuroscience",google.com,22038,us,,,,,
Xiaolin Hu,"Associate Professor of Computer Science and Technology, Tsinghua University",https://scholar.google.com/citations?hl=en&user=PksdgoUAAAAJ,"artificial neural networks, computational neuroscience",tsinghua.edu.cn,21529,cn,,,,,
Cameron Craddock,The Neuro Bureau,https://scholar.google.com/citations?hl=en&user=lZ9hwSsAAAAJ,"Medical Imaging Analysis, Neuroinformatics, Magnetic Resonance Imaging, Psychiatric Neuroimaging, Computational Neuroscience",meta.com,20928,us,,,,,
Stefano Panzeri,"University Medical Center Hamburg-Eppendorf (UKE), and Istituto Italiano di Tecnologia",https://scholar.google.com/citations?hl=en&user=C-HCQ9cAAAAJ,"Computational Neuroscience, Neuroscience, Neuroinformatics, Neural Coding, Systems Neuroscience",uke.de,20598,de,,,,,
jean daunizeau,"INSERM / Paris Brain Institute (ICM), Paris, France",https://scholar.google.com/citations?hl=en&user=IQgFqvwAAAAJ,Computational neuroscience,icm-institute.org,20590,fr,,,,,
