Author Name,Affiliation,Google Scholar Link,Research Interests,Email Domain,Citations,Nation,,,,,
Jie Sui,"Professor of Psychology, University of Aberdeen",https://scholar.google.com/citations?hl=en&user=6Xk9ZP0AAAAJ,"Self, Social Cognition, Computational Neuroscience, Behaviour Change",abdn.ac.uk,6547,uk,,,,,
Jeff Beck,Duke University,https://scholar.google.com/citations?hl=en&user=RJE1lmUAAAAJ,Computational Neuroscience,duke.edu,6536,us,,,,,
Si Wu,Peking University,https://scholar.google.com/citations?hl=en&user=cb_mkrsAAAAJ,"Computational Neuroscience, Brain-inspired Computing",pku.edu.cn,6523,cn,,,,,
Boris Gutkin,Ecole Normale Superieure,https://scholar.google.com/citations?hl=en&user=Q2aFVoYAAAAJ,"mathematical neuroscience, neural oscillations, computational neuroscience, theoretical neuroscience",ens.fr,6458,fr,,,,,
Christian Machens,"Champalimaud Neuroscience Programme, Champalimaud Foundation",https://scholar.google.com/citations?hl=en&user=-4z7V1oAAAAJ,"Computational Neuroscience, Theoretical Neuroscience",neuro.fchampalimaud.org,6406,pt,,,,,
Jakob Macke,"Machine Learning in Science, T®πbingen University",https://scholar.google.com/citations?hl=en&user=FKOqtF8AAAAJ,"Machine learning, AI4Science, NeuroAI, Computational neuroscience, Simulation-based inference",uni-tuebingen.de,6380,de,,,,,
Mark D. McDonnell,Aurizn,https://scholar.google.com/citations?hl=en&user=29OHpnEAAAAJ,"Machine Learning, Computer Vision, Computational Neuroscience",ieee.org,6355,us,,,,,
Arjen van Ooyen,VU University Amsterdam,https://scholar.google.com/citations?hl=en&user=nsgMebsAAAAJ,"Computational neuroscience, Neuroinformatics",cncr.vu.nl,6345,nl,,,,,
Michele Piana,"MIDA - Dipartimento di Matematica, UNIGE; LISCOMP - IRCCS San Martino Genova",https://scholar.google.com/citations?hl=en&user=HHrS0BUAAAAJ,"computational data analysis, medical imaging, solar physics, computational neuroscience",dima.unige.it,6331,it,,,,,
Omri Barak,Technion - Israel Institute of Technology,https://scholar.google.com/citations?hl=en&user=6BrZ2isAAAAJ,"Theoretical Neuroscience, Computational Neuroscience",tx.technion.ac.il,6317,il,,,,,
Gordon Pipa,Professor for neuroinformatics - Osnabrueck University,https://scholar.google.com/citations?hl=en&user=joR6mgEAAAAJ,"Theoretical Neuroscience, Computational Cognition, Cognitive Computing, Computational Neuroscience",uos.de,6266,de,,,,,
Kre?imir Josi?,"Departments of Mathematics, Biology and Biochemistry, University of Houston",https://scholar.google.com/citations?hl=en&user=P6oiy9kAAAAJ,"mathematical biology, theoretical neuroscience, dynamical systems, synthetic biology, computational neuroscience",math.uh.edu,6247,us,,,,,
Carlo Laing,"Professor of Nonlinear Mathematics, Massey University",https://scholar.google.com/citations?hl=en&user=hE5QqGIAAAAJ,"nonlinear dynamics, computational neuroscience",massey.ac.nz,6221,nz,,,,,
Olivier Sigaud,"Professor in Computer Science, Sorbonne Universit√©",https://scholar.google.com/citations?hl=en&user=elLfDv0AAAAJ,"deep reinforcement learning, artificial intelligence, machine learning, developmental robotics, computational neuroscience",upmc.fr,6181,fr,,,,,
Neil Bruce,"School of Computer Science, University of Guelph",https://scholar.google.com/citations?hl=en&user=Gnezf-4AAAAJ,"Deep Learning, Machine Learning, Computer Vision, Attention and Gaze, Computational Neuroscience",uoguelph.ca,6171,ca,,,,,
Catalin V. Buhusi,MEng. MA. PhD. Professor of Psychology and Neuroscience,https://scholar.google.com/citations?hl=en&user=3wxntGMAAAAJ,"Timing & Decision Making, Systems Neuroscience, Neuro-Pharmacology, Behavioral Neuroscience, Computational Neuroscience",usu.edu,6168,us,,,,,
Ione Fine,University of Washington,https://scholar.google.com/citations?hl=en&user=EE4JJAcAAAAJ,"Blindness & Sight recovery, Computational neuroscience",uw.edu,6153,us,,,,,
Eric Schulz,Helmholtz Munich,https://scholar.google.com/citations?hl=en&user=74Cj5GYAAAAJ,"Cognitive Science, Machine Learning, Computational Neuroscience",helmholtz-munich.de,6101,de,,,,,
Dirk B. Walther (Dirk Bernhardt-Walther),"Department of Psychology, University of Toronto",https://scholar.google.com/citations?hl=en&user=rnps4mgAAAAJ,"Cognitive Neuroscience, Vision Research, Emprical Aesthetics, Computational Neuroscience",utoronto.ca,6077,ca,,,,,
Thomas Kreuz,"Senior Researcher, Institute of Complex Systems (CNR), Florence, Italy",https://scholar.google.com/citations?hl=en&user=x7Dg3pgAAAAJ,"Computational Neuroscience, Time Series Analysis, Synchronization, Nonlinear Dynamics, Complex Systems",cnr.it,6030,it,,,,,
Emre Neftci,"Institute Director, Forschungszentrum J®πlich; Professor, RWTH Aachen",https://scholar.google.com/citations?hl=en&user=yYT6jtkAAAAJ,"Neuromorphic Engineering, Computational Neuroscience, Cognitive Systems and Behavior, Machine Learning",fz-juelich.de,6017,de,,,,,
Chong-Yaw Wee,,https://scholar.google.com/citations?hl=en&user=sLQAdHQAAAAJ,"Computational Neuroscience, Neuroimage Computing, Brain Connectome, Machine Learning, Pattern Recognition",,5975,,,,,,
Eftychios A. Pnevmatikakis,Meta Reality Labs,https://scholar.google.com/citations?hl=en&user=fDc1X1YAAAAJ,"Computational Neuroscience, Signal Processing, Statistics",flatironinstitute.org,5961,us,,,,,
William W Lytton,"Professor of Physiology & Pharmacology and Neurology, SUNY Downstatate",https://scholar.google.com/citations?hl=en&user=yTK0o2UAAAAJ,Computational Neuroscience,neurosim.downstate.edu,5957,us,,,,,
Richard Naud,"Department of Cellular and Molecular Medicine, Department of Physics, University of Ottawa",https://scholar.google.com/citations?hl=en&user=2HXsblgAAAAJ,"Neuroscience, Computational Neuroscience, Theoretical Neuroscience",uottawa.ca,5906,ca,,,,,
Hamid Reza Marateb,"Associate Professor of Biomedical engineering, University of Isfahan and Research fellow ",https://scholar.google.com/citations?hl=en&user=e9IuAXwAAAAJ,"Biomedical Signal Processing, Medical Data Mining, Computational Neuroscience, Digital Health",eng.ui.ac.ir,5896,ir,,,,,
Tim Pearce,University of Leicester,https://scholar.google.com/citations?hl=en&user=mN6PLysAAAAJ,"Neuromorphic Engineering, Biomedical Engineering, Olfaction, Computational Neuroscience",le.ac.uk,5893,uk,,,,,
Oscar Miranda-Dominguez,University of Minnesota,https://scholar.google.com/citations?hl=en&user=BPOf0_gAAAAJ,"Neuroimaging, computational neuroscience, neuromodulation",umn.edu,5892,us,,,,,
Daniel Zoran,Google DeepMind,https://scholar.google.com/citations?hl=en&user=1JQDH_AAAAAJ,"Computer Vision, Natural Scene Statistics, Machine Learning, Computational Neuroscience",google.com,5891,us,,,,,
Terran Lane,"Professor of Computer Science, University of New Mexico",https://scholar.google.com/citations?hl=en&user=1hfdDW4AAAAJ,"Machine Learning, Data Mining, Artificial Intelligence, Computational Biology, Computational Neuroscience",cs.unm.edu,5879,us,,,,,
Michele Giugliano,PI at University of Modena and Reggio Emilia - UNIMORE,https://scholar.google.com/citations?hl=en&user=ImrD5VwAAAAJ,"Neurobiology, Cellular Electrophysiology, Computational Neuroscience, Neuroengineering",unimore.it,5874,it,,,,,
Luca Citi,"Professor, CSEE, University of Essex, UK",https://scholar.google.com/citations?hl=en&user=HnQm_pAAAAAJ,"Computational Intelligence, Computational Neuroscience, Machine Learning, Signal Processing, Brain-Computer Interfaces",neurostat.mit.edu,5853,us,,,,,
Aree Witoelar,"Postdoctoral Fellow, University of Oslo",https://scholar.google.com/citations?hl=en&user=4zQRQBEAAAAJ,"Machine Learning, Computational Neuroscience, Statistical Genetics",medisin.uio.no,5829,no,,,,,
Dajiang Zhu,University of Texas at Arlington,https://scholar.google.com/citations?hl=en&user=cFgudIYAAAAJ,"Computer Science, Computational Neuroscience, Medical Imaging",uta.edu,5828,us,,,,,
Mark D Humphries,"Professor of Computational Neuroscience, University of Nottingham",https://scholar.google.com/citations?hl=en&user=AKR7P-4AAAAJ,"Theoretical neuroscience, computational neuroscience, systems neuroscience, networks, basal ganglia",nottingham.ac.uk,5822,uk,,,,,
Gamaleldin Elsayed,"Research Scientist, Google DeepMind",https://scholar.google.com/citations?hl=en&user=7PrTPzsAAAAJ,"Multimodal learning, Machine Learning, Computer Vision, Computational Neuroscience",google.com,5818,us,,,,,
Mukesh Dhamala,"Professor of Physics, Neuroscience and Math, Georgia State University",https://scholar.google.com/citations?hl=en&user=jGVUxgsAAAAJ,"Cognitive neuroscience, Computational neuroscience, Neuroimaging, NeuroPhysics, Nonlinear Dynamics",gsu.edu,5806,us,,,,,
Luc Selen,"Assistant Professor, Donders Institute for Brain, Cognition and Behaviour",https://scholar.google.com/citations?hl=en&user=G3t7WvIAAAAJ,"Motor Control, Sensorimotor Integration, Computational Neuroscience",donders.ru.nl,5786,nl,,,,,
Charles Cadieu,Founder / CEO / Advisor / Investor,https://scholar.google.com/citations?hl=en&user=ebaAp_MAAAAJ,"Medical Imaging, Computational Neuroscience, Vision, Computer Vision, Artificial Intelligence",alum.mit.edu,5781,us,,,,,
Daniel Tranchina,"Professor of Biology, Mathematics and Neural Science",https://scholar.google.com/citations?hl=en&user=EcMD4XQAAAAJ,"Computational Neuroscience, Phototransduction, ‚Ä?Problems in Cellular and Molecular Biology, Statistical Analysis of Ge",nyu.edu,5700,us,,,,,
Geoffrey Goodhill,Washington University in St Louis,https://scholar.google.com/citations?hl=en&user=8uvSd0oAAAAJ,"computational neuroscience, theoretical neuroscience, systems neuroscience, neural development, axon guidance",wustl.edu,5694,us,,,,,
Roland Fleming,"Kurt Koffka Professor of Experimental Psychology, University of Giessen",https://scholar.google.com/citations?hl=en&user=ruUKktgAAAAJ,"Human Visual Perception, Computational Neuroscience, Motor Control, Deep Learning, Computer Graphics",psychol.uni-giessen.de,5676,de,,,,,
Bertram E Shi,"Professor of ECE, Hong Kong University of Science and Technology",https://scholar.google.com/citations?hl=en&user=KaaF6ooAAAAJ,"Neuromorphic engineering, computational neuroscience, eye gaze, eye movements, human computer interaction",ust.hk,5649,hk,,,,,
Michael Moutoussis,"Clinical lecturer, Department of Imaging Neuroscience, UCL",https://scholar.google.com/citations?hl=en&user=yKcHW9cAAAAJ,"Psychiatry, computational neuroscience, psychotherapy",ucl.ac.uk,5628,uk,,,,,
Samanwoy Ghosh-Dastidar,"BrainScope Co., Inc.",https://scholar.google.com/citations?hl=en&user=ThxmXtgAAAAJ,"Neuroengineering, Computational Neuroscience, Artificial Intelligence, Biomedical Signal Processing, Image Processing",,5613,us,,,,,
Paul Munro,University of Pittsburgh,https://scholar.google.com/citations?hl=en&user=95ZV0YcAAAAJ,"Computational Neuroscience, Cognitive Science, Learning and Plasticity",pitt.edu,5604,us,,,,,
Michael Okun,"Associate Professor, University of Nottingham",https://scholar.google.com/citations?hl=en&user=T7GVW80AAAAJ,"Systems Neuroscience, Computational Neuroscience",nottingham.ac.uk,5538,uk,,,,,
Michael Spratling,University of Luxembourg,https://scholar.google.com/citations?hl=en&user=A2tJIE4AAAAJ,"Neural Networks, Machine Learning, Computer Vision, Computational Neuroscience, Visual Cognition",uni.lu,5431,lu,,,,,
Thomas A. Cleland,"Professor, Cornell University",https://scholar.google.com/citations?hl=en&user=oNAtoyEAAAAJ,"Neuroscience, Olfaction, Computational Neuroscience",cornell.edu,5430,us,,,,,
Tolga Cukur,Professor of Electrical Engineering,https://scholar.google.com/citations?hl=en&user=5GLKJvwAAAAJ,"Biomedical Imaging, Computational Neuroscience, Medical Image Analysis, Machine Learning, Deep Learning",ee.bilkent.edu.tr,5359,tr,,,,,
Hiren Makadia,,https://scholar.google.com/citations?hl=en&user=XEy2kiYAAAAJ,"Computational and Systems Biology, Computational Neuroscience",N/A,5315,,,,,,
Suliann Ben Hamed,"Research director, Institute for Cognitive Science Marc Jeannerod, ISCMJ",https://scholar.google.com/citations?hl=en&user=5ed7CN8AAAAJ,"neuroscience, electrophysiology, fMRI, computational neuroscience, psychophysics",isc.cnrs.fr,5312,fr,,,,,
Slawomir J Nasuto,"Professor of Cybernetics, University of Reading",https://scholar.google.com/citations?hl=en&user=KB8Dtz0AAAAJ,"cybernetics, enactivism, brain-computer interfaces, closed-loop technologies, computational neuroscience",reading.ac.uk,5302,uk,,,,,
"Houman Khosravani, MD PhD FRCPC","Assistant Professor, University of Toronto, Sunnybrook Health Sciences",https://scholar.google.com/citations?hl=en&user=qzhk98YAAAAJ,"Stroke, Neurocritical care, Computational Neuroscience",ccmd.io,5239,io,,,,,
Marc-Oliver Gewaltig,thesify SA,https://scholar.google.com/citations?hl=en&user=Dy-lNyAAAAAJ,"Artificial Intelligence, Robotics, Computational Neuroscience",thesify.ai,5237,ai,,,,,
Domenico Formica,Newcastle University,https://scholar.google.com/citations?hl=en&user=vNXbmF0AAAAJ,"Neural Engineering, Biomedical Engineering, Computational Neuroscience, Neuro-robotics, Wearable Sensors",newcastle.ac.uk,5231,uk,,,,,
Professor Damien Coyle,"The Bath Institute for the Augmented Human, University of Bath",https://scholar.google.com/citations?hl=en&user=4JBNft0AAAAJ,"Neurotechnology, Brain-computer interface, computational neuroscience, computational intelligence, neuroimaging",bath.ac.uk,5200,uk,,,,,
Shigeru Shinomoto,ATR Institute International,https://scholar.google.com/citations?hl=en&user=0YlLtk4AAAAJ,"Computational Neuroscience, Nonlinear Dynamics",scphys.kyoto-u.ac.jp,5192,jp,,,,,
Tim P. Vogels,"Institute of Science and Technology, Austria",https://scholar.google.com/citations?hl=en&user=RsHPZroAAAAJ,"Theoretical Neuroscience, Computational Neuroscience",ist.ac.at,5174,at,,,,,
Andrew Fagg,University of Oklahoma,https://scholar.google.com/citations?hl=en&user=bv_o8b0AAAAJ,"robotics, computational neuroscience, embedded systems, assistive robotics",cs.ou.edu,5148,us,,,,,
Nicolas Yvan Masse,Icahn School of Medicine at Mt. Sinai,https://scholar.google.com/citations?hl=en&user=ugS46wEAAAAJ,"Systems Neuroscience, Computational Neuroscience, Machine Learning, Genomics",mssm.edu,5147,us,,,,,
Francesco Galluppi,"Research Engineer, Gensight Biologics",https://scholar.google.com/citations?hl=en&user=hHEi1BoAAAAJ,"Spiking Neural Networks, Computational Neuroscience, Spike-Based Computation, Assistive Technologies, Neuromorphic Systems",inserm.fr,5132,fr,,,,,
Robert Butera,"Professor, Georgia Institute of Technology",https://scholar.google.com/citations?hl=en&user=_DT8jHD7dGYJ,"computational neuroscience, neuroengineering, neurophysiology, embedded systems",gatech.edu,5113,us,,,,,
Odelia Schwartz,"Computer Science, University of Miami",https://scholar.google.com/citations?hl=en&user=3prQpXgAAAAJ,"computational neuroscience, machine learning, perception, vision",cs.miami.edu,5099,us,,,,,
Kechen Zhang,"Department of Biomedical Engineering, Johns Hopkins University",https://scholar.google.com/citations?hl=en&user=XrqAC5kAAAAJ,computational neuroscience,jhmi.edu,5095,us,,,,,
Shi Gu,University of Electronic Science and Technology of China,https://scholar.google.com/citations?hl=en&user=9_jlOXUAAAAJ,"computational neuroscience, network neuroscience, artificial intelligence",sas.upenn.edu,5079,us,,,,,
Selin Aviyente,Michigan State University,https://scholar.google.com/citations?hl=en&user=Cs4DC88AAAAJ,"Signal Processing, Computational neuroscience, Time-frequency analysis",egr.msu.edu,5076,us,,,,,
Natalia Shevtsova,"Research Assistant Professor, Drexel University College of Medicine",https://scholar.google.com/citations?hl=en&user=MOM9RDAAAAAJ,Computational Neuroscience,drexelmed.edu,5074,us,,,,,
Matthijs (Matt) van der Meer,"Associate Professor of Psychological & Brain Sciences, Dartmouth College",https://scholar.google.com/citations?hl=en&user=cGMeE7UAAAAJ,"Neuroscience, Neurophysiology, Computational Neuroscience, Behavioral Neuroscience",dartmouth.edu,5070,us,,,,,
Stephanie R. Jones,Brown University,https://scholar.google.com/citations?hl=en&user=H2lcpR0AAAAJ,"Computational Neuroscience, MEG/EEG, TMS, Perception, Attention",brown.edu,5067,us,,,,,
Harel Z. Shouval,University of Texas Medical School at Houston,https://scholar.google.com/citations?hl=en&user=RLEOhRAAAAAJ,"Learning and memory, synaptic plasticity, mechanisms of timing, computational neuroscience",uth.tmc.edu,4994,us,,,,,
Pablo Varona,"Professor of Computer Science, Universidad Autonoma de Madrid",https://scholar.google.com/citations?hl=en&user=JrMlehIAAAAJ,"Computational Neuroscience, Closed-Loop Technologies, Biocomputing, Biomedical Engineering, Brain-Computer Interfaces",uam.es,4992,es,,,,,
Peter F?ldi®¢k,Researcher ID I-4987-2012,https://scholar.google.com/citations?hl=en&user=6BsP0vMAAAAJ,"Computational neuroscience, neural codes, Formal Concept Analysis, semantic representation, knowledge representation",mokk.bme.hu,4991,hu,,,,,
Fernando E. Rosas,Lecturer at University of Sussex,https://scholar.google.com/citations?hl=en&user=OZNAs2wAAAAJ,"Complexity, Emergence, Computational Neuroscience, AI Safety",sussex.ac.uk,4990,uk,,,,,
Lyle N. Long,The Pennsylvania State University,https://scholar.google.com/citations?hl=en&user=s4C6wCIAAAAJ,"Computational science, computational neuroscience, cognitive robotics, parallel computing, software engineering",psu.edu,4971,us,,,,,
Thierry Vi®¶ville,Inria,https://scholar.google.com/citations?hl=en&user=3TSMUuQAAAAJ,"computer science, computational neuroscience, computer vision",sophia.inria.fr,4948,fr,,,,,
Robert Schmidt,"Professor for Neural Data Science, Insititut f√ºr Neuroinformatik, Ruhr-Universit√§t Bochum",https://scholar.google.com/citations?hl=en&user=h6lbJlMAAAAJ,"basal ganglia, computational neuroscience, data analysis, cognitive control, dopamine",ruhr-uni-bochum.de,4929,de,,,,,
Renaud B. Jolivet,Maastricht University,https://scholar.google.com/citations?hl=en&user=9Ozwv7EAAAAJ,"Neurophysics, Neuroengineering, Computational Neuroscience",maastrichtuniversity.nl,4928,nl,,,,,
Piotr J Franaszczuk,"Senior Research Scientist US Army Research Laboratory, Adjunct Associate Professor ",https://scholar.google.com/citations?hl=en&user=uakgLREAAAAJ,"computational neuroscience, signal processing,  computer modeling and simulation",jhmi.edu,4924,us,,,,,
Govindan Rangarajan,"Professor of Mathematics, Indian Institute of Science",https://scholar.google.com/citations?hl=en&user=nFZYuaAAAAAJ,"Nonlinear dynamics, time series analysis, computational neuroscience",iisc.ac.in,4883,in,,,,,
Yujie Wu,"Research Assistant Professor, The Hong Kong Polytechnic University",https://scholar.google.com/citations?hl=en&user=-lw0UPkAAAAJ,"Brain-inspired AI, Neuromorphic computing, Computational neuroscience, SNNs",tsinghua.org.cn,4879,cn,,,,,
Damon A. Clark,"Professor, Yale University",https://scholar.google.com/citations?hl=en&user=2LlTUJQAAAAJ,"Neuroscience, Visual processing, Neural circuits, Computational Neuroscience, Drosophila",post.harvard.edu,4866,us,,,,,
Mainak Jas,Massachussets General Hospital,https://scholar.google.com/citations?hl=en&user=YIi1T7IAAAAJ,"Neuroimaging, Machine Learning, MEG/EEG, Computational neuroscience",mgh.harvard.edu,4841,us,,,,,
Sean Patrick Fitzgibbon,"Wellcome Centre for Integrative Neuroimaging, FMRIB, University of Oxford",https://scholar.google.com/citations?hl=en&user=Fhi_yLMAAAAJ,"Computational neuroscience, cognitive science, connectivity, EEG",ndcn.ox.ac.uk,4837,uk,,,,,
David C. O'Carroll,"Lund University, Department of Biology",https://scholar.google.com/citations?hl=en&user=qx8DDLIAAAAJ,"Visual Neuroscience, Computational Neuroscience, Biomimetics, Neuromorphic Engineering, Neural stem cells",biol.lu.se,4835,se,,,,,
Xavier Otazu,"Computer Vision Center Barcelona, Universitat Autonoma de Barcelona",https://scholar.google.com/citations?hl=en&user=I-U-oUkAAAAJ,"Vision Science, Computational Neuroscience, Remote Sensing, Astronomy",cvc.uab.es,4828,es,,,,,
Fabian Sinz,"Professor for Machine Learning, University G√∂ttingen",https://scholar.google.com/citations?hl=en&user=xpwMxy8AAAAJ,"computational neuroscience, computational vision, statistics, machine learning, neuroscience",cs.uni-goettingen.de,4808,de,,,,,
Paulo de Castro Aguiar,"Principal Investigator, Neuroengineering and Computational Neuroscience Lab - i3S",https://scholar.google.com/citations?hl=en&user=Jwr9SgMAAAAJ,"Neuroengineering, Computational Neuroscience, Neuromodulation, Computational Biology, Biomedical Eng",i3s.up.pt,4807,pt,,,,,
Dmitry Kobak,University of T®πbingen,https://scholar.google.com/citations?hl=en&user=BUQbD5kAAAAJ,"Machine Learning, Unsupervised Learning, Manifold learning, Transcriptomics, Computational Neuroscience",uni-tuebingen.de,4803,de,,,,,
"TAPAN KUMAR GANDHI, Ph.D. , FNAE, FNASc.","Professor, Dept. of Electrical Engg., IIT Delhi",https://scholar.google.com/citations?hl=en&user=VyIA2PwAAAAJ,"Healthcare Technology, Computational Neuroscience, ML/AI, AVR, Responsible Gaming",iitd.ac.in,4798,in,,,,,
Vangelis Sakkalis,Research Director,https://scholar.google.com/citations?hl=en&user=8heaYOcAAAAJ,"Computational Neuroscience, Computational Modelling, Biomedical Engineering",ics.forth.gr,4797,gr,,,,,
Kamran Diba,University of Michigan Medical School,https://scholar.google.com/citations?hl=en&user=qgKH8gwAAAAJ,"Computational neuroscience, Learning and Memory, Sleep, Replay",umich.edu,4791,us,,,,,
Po-Hsuan Cameron Chen,Google Research / Google Health,https://scholar.google.com/citations?hl=en&user=OrhZiAIAAAAJ,"Machine Learning, Deep Learning, Medical Imaging, Healthcare, Computational Neuroscience",google.com,4788,us,,,,,
Abigail Morrison,J®πlich Research Center,https://scholar.google.com/citations?hl=en&user=D527oQ4AAAAJ,"Computational Neuroscience, HPC, Neuroinformatics, Simulation Technology",fz-juelich.de,4742,de,,,,,
Marco Idiart,"Professor of Physics, Federal University of Rio Grande do Sul",https://scholar.google.com/citations?hl=en&user=rHvtFc8AAAAJ,"Computational Neuroscience, Artificial Intelligence, Complex Systems",if.ufrgs.br,4732,br,,,,,
Emmeric Tanghe,Ghent University - IMEC,https://scholar.google.com/citations?hl=en&user=l8fSbdEAAAAJ,"radio channel modeling, computational neuroscience, bioelectromagnetism",ugent.be,4684,be,,,,,
Pier Stanislao Paolucci,"INFN Roma, past: ATMEL, IPITEC, Uni Roma Sapienza",https://scholar.google.com/citations?hl=en&user=jhvLaT8AAAAJ,"Physics, Computer Science, Engineering, Computational Neuroscience",roma1.infn.it,4660,it,,,,,
J Douglas Birdwell,"Professor Emeritus of Electrical Engineering and Computer Science, University",https://scholar.google.com/citations?hl=en&user=F4v_MEIAAAAJ,"Control Systems, Computational Neuroscience, Systems Biology, Bioinformatics, Knowledge Discovery",utk.edu,4621,us,,,,,
Jean ROUAT,"NECOTIS, GEGI, Univ. de Sherbrooke",https://scholar.google.com/citations?hl=en&user=LQVQJ50AAAAJ,"Neuromorphic Computing, Artificial Intelligence, Machine Learning, Signal Processing, Computational Neuroscience",usherbrooke.ca,4601,ca,,,,,
Alper Demir,"Professor of Electrical Engineering, Koc University, Turkey",https://scholar.google.com/citations?hl=en&user=J-uRiRAAAAAJ,"phase noise, oscillators, stochastic dynamics, nanomechanical sensors, computational neuroscience",ku.edu.tr,4594,tr,,,,,
Sue Ann Campbell,"Professor of Applied Mathematics, University of Waterloo",https://scholar.google.com/citations?hl=en&user=KgioDk8AAAAJ,"Dynamical Systems, Computational Neuroscience, Delay Differential Equations",uwaterloo.ca,4580,ca,,,,,
Ali Minai,"Professor of Electrical & Computer Engineering, University of Cincinnati",https://scholar.google.com/citations?hl=en&user=Sm-_3WQAAAAJ,"Complex Systems, Neural Networks, AI Philosophy, NLP, Computational Neuroscience",uc.edu,4578,us,,,,,
Daniel Butts,"Associate Professor of Biology, University of Maryland",https://scholar.google.com/citations?hl=en&user=NW2I4PYAAAAJ,"Computational neuroscience, Systems Neuroscience, Sensory Coding",umd.edu,4574,us,,,,,
Hesham Mostafa,"Research scientist, Intel Corporation",https://scholar.google.com/citations?hl=en&user=gXuEJfsAAAAJ,"computational neuroscience, neuromorphic engineering, power-aware machine learning",intel.com,4555,us,,,,,
Alex Andonian,"PhD in EECS, MIT",https://scholar.google.com/citations?hl=en&user=PN7hXAMAAAAJ,"deep learning, computational neuroscience, computer vision",mit.edu,4535,us,,,,,
Mikael Lundqvist,Karolinska Institute & MIT,https://scholar.google.com/citations?hl=en&user=LcxXPiQAAAAJ,"Computational neuroscience, Cognition, Working memory, Systems neuroscience",mit.edu,4532,us,,,,,
Michael Economo,"Assistant Professor, Boston University",https://scholar.google.com/citations?hl=en&user=e2R6r8wAAAAJ,"Computational Neuroscience, Systems Neuroscience, Sensory Neuroscience, Motor Control, Biomedical Engineering",bu.edu,4520,us,,,,,
Jeanette Hellgren Kotaleski,KTH Royal Institute of Technology,https://scholar.google.com/citations?hl=en&user=55D57zgAAAAJ,computational neuroscience,kth.se,4519,se,,,,,
Astrid Prinz,"Associate Professor of Biology, Emory University",https://scholar.google.com/citations?hl=en&user=aTlELE8AAAAJ,Computational Neuroscience,emory.edu,4514,us,,,,,
Ting Ma,Harbin Institute of Technology (Shenzhen),https://scholar.google.com/citations?hl=en&user=xxWdw0IAAAAJ,"Computational neuroscience, neuroimage, brain-computer-interface, medical image analysis",hit.edu.cn,4487,cn,,,,,
Zening Fu,Tri-Institutional Center for Translational Research in Neuroimaging and Data Science ,https://scholar.google.com/citations?hl=en&user=7mlkA2YAAAAJ,"Computational neuroscience, Bioinformatic, Neural signal processing, Machine learning, Big data analytics",gsu.edu,4477,us,,,,,
Sofie Valk,"Research group leader Cognitive Neurogenetics @ MPI CBS and FZJ, INM-7",https://scholar.google.com/citations?hl=en&user=FvGpB04AAAAJ,"social neuroscience, neuroimaging genetics, computational neuroscience",cbs.mpg.de,4474,de,,,,,
Eiji Uchibe,"Dept. of Brain Robot Interface, ATR Computational Neuroscience Labs.",https://scholar.google.com/citations?hl=en&user=nXqBRo8AAAAJ,"Robotics, Reinforcement Learning, Machine Learning, Optimal Control, Computational Neuroscience",atr.jp,4435,jp,,,,,
ShiNung Ching,Washington University in St. Louis,https://scholar.google.com/citations?hl=en&user=z_vUo8EAAAAJ,"Control Theory, Computational Neuroscience, Dynamical Systems",ese.wustl.edu,4433,us,,,,,
Erhan Oztop,"Computer Science, Ozyegin University/OTRI, SISReC, Osaka University",https://scholar.google.com/citations?hl=en&user=A8YEQMMAAAAJ,"Cognitive Robotics, Human-Robot Learning, Computational Neuroscience, Machine Learning",ozyegin.edu.tr,4431,tr,,,,,
Kevin M. Cury,"Research Scientist, Columbia University",https://scholar.google.com/citations?hl=en&user=KpSNbF4AAAAJ,"Neural circuits, Neuroethology, Entomology, Computational Neuroscience",columbia.edu,4396,us,,,,,
Ruben Moreno-Bote,"University Pompeu Fabra, Barcelona",https://scholar.google.com/citations?hl=en&user=dk4k91QAAAAJ,"Computational Neuroscience, Cognitive Neuroscience, Psycophysics",upf.edu,4388,es,,,,,
Michele Rucci,"Professor, University of Rochester",https://scholar.google.com/citations?hl=en&user=0D9paZMAAAAJ,"active vision, visual perception, computational neuroscience, eye movements, robotics",ur.rochester.edu,4377,us,,,,,
Nicolas Langer,Professor @ University of Zurich,https://scholar.google.com/citations?hl=en&user=MElLotMAAAAJ,"EEG, eye-tracking, neuroimaging, machine learning, computational neuroscience",psychologie.uzh.ch,4374,ch,,,,,
Erik Fransen,"Professor in computer science at KTH Royal Institute of Technology, Stockholm, Sweden",https://scholar.google.com/citations?hl=en&user=VFtGuvcAAAAJ,computational neuroscience,kth.se,4369,se,,,,,
Avinash Kori,"PhD Researcher, Imperial College London",https://scholar.google.com/citations?hl=en&user=X6o3q0gAAAAJ,"Causality, XAI, Computational Neuroscience, Game Theory, Medical Image Analysis",imperial.ac.uk,4356,uk,,,,,
Christian Balkenius,"Professor of Cognitive Science, Lund University",https://scholar.google.com/citations?hl=en&user=pBhzO5YAAAAJ,"computational neuroscience, developmental robotics, cognitive systems, social robotics, cognitive robotics",lucs.lu.se,4330,se,,,,,
Matthew Nassar,Assistant Professor at Brown University,https://scholar.google.com/citations?hl=en&user=w-fcLkEAAAAJ,"Computational Neuroscience, Decision Making, Reinforcement Learning, Memory, Arousal",brown.edu,4307,us,,,,,
